lon,lat,depth,stdv,smag,shiftstd,avstr,avdip,avrke,psdepth,sstr,sdip,nID,pslon,pslat,bzlon,bzlat,centsurf,thickness,alen,blen,clen,ogstr,ogdip,hstdv,vstdv
232.40,43.40,3.24,2.00,0.00,0.00,nan,nan,nan,3.24,355.16,4.55,2324434,232.40,43.40,232.40,43.40,3.00,33.38,100.00,20.00,100.00,359.20,0.00,0.00,2.00
232.60,43.40,3.27,2.00,0.00,0.00,nan,nan,nan,3.27,355.16,4.55,2326434,232.60,43.40,232.60,43.40,3.00,33.38,100.00,20.00,100.00,359.20,0.00,0.00,2.00
232.80,43.40,3.32,2.00,0.00,0.00,nan,nan,nan,3.32,355.16,4.55,2328434,232.80,43.40,232.80,43.40,3.00,33.38,100.00,20.00,100.00,359.20,0.00,0.00,2.00
233.00,43.40,3.39,2.00,0.00,0.00,nan,nan,nan,3.39,355.16,4.55,2330434,233.00,43.40,233.00,43.40,3.00,33.38,100.00,20.00,100.00,359.20,0.00,0.00,2.00
233.20,43.40,3.49,2.00,0.00,0.00,nan,nan,nan,3.49,355.16,4.55,2332434,233.20,43.40,233.20,43.40,3.00,33.38,100.00,20.00,100.00,359.20,0.00,0.00,2.00
233.40,43.40,3.55,2.00,0.00,0.00,nan,nan,nan,3.55,355.16,4.55,2334434,233.40,43.40,233.40,43.40,3.00,33.38,100.00,20.00,100.00,359.20,0.00,0.00,2.00
233.60,43.40,3.60,2.00,0.00,0.00,nan,nan,nan,3.60,355.16,4.55,2336434,233.60,43.40,233.60,43.40,3.00,33.38,100.00,20.00,100.00,359.20,0.00,0.00,2.00
233.80,43.40,3.65,2.00,0.00,0.00,nan,nan,nan,3.65,355.16,4.55,2338434,233.80,43.40,233.80,43.40,3.00,33.38,100.00,20.00,100.00,359.20,0.00,0.00,2.00
234.00,43.40,3.72,2.00,0.00,0.00,nan,nan,nan,3.72,355.16,4.55,2340434,234.00,43.40,234.00,43.40,3.00,33.38,100.00,20.00,100.00,359.20,0.00,0.00,2.00
234.20,43.40,4.79,2.35,0.00,0.00,nan,nan,nan,4.79,355.16,4.55,2342434,234.20,43.40,234.20,43.40,4.00,33.38,100.00,20.00,100.00,359.20,0.00,0.00,2.35
234.40,43.40,3.88,2.00,0.00,0.00,nan,nan,nan,3.88,355.16,4.55,2344434,234.40,43.40,234.40,43.40,3.00,33.38,100.00,20.00,100.00,359.20,0.00,0.00,2.00
234.60,43.40,5.00,6.00,0.00,0.00,nan,nan,nan,5.00,355.16,4.55,2346434,234.60,43.40,234.60,43.40,6.00,33.38,100.00,20.00,100.00,357.40,3.10,0.32,5.99
234.80,43.40,4.64,8.35,0.00,0.00,nan,nan,nan,4.64,355.94,6.36,2348434,234.80,43.40,234.80,43.40,10.00,33.50,100.00,20.00,100.00,355.94,6.94,1.01,8.29
