lon,lat,depth,stdv,smag,shiftstd,avstr,avdip,avrke,psdepth,sstr,sdip,nID,pslon,pslat,bzlon,bzlat,centsurf,thickness,alen,blen,clen,ogstr,ogdip,hstdv,vstdv
236.00,43.40,25.00,6.00,0.54,0.04,nan,nan,nan,25.00,358.83,10.13,2360434,236.00,43.40,236.00,43.40,6.00,32.57,100.00,20.00,100.00,354.07,15.41,1.59,5.78
236.00,43.60,24.96,3.74,0.52,0.04,nan,nan,nan,24.96,352.49,9.09,2360436,236.00,43.60,236.00,43.60,6.00,32.57,100.00,20.00,100.00,356.96,13.47,0.87,3.64
236.20,43.60,26.14,9.76,1.54,0.12,nan,nan,nan,26.86,357.77,7.79,2362436,236.20,43.60,236.20,43.60,16.00,32.57,100.00,20.00,100.00,353.19,13.72,2.31,9.48
236.40,43.60,30.15,9.75,1.19,0.09,nan,nan,nan,26.21,6.23,10.00,2364436,236.40,43.60,236.40,43.60,15.50,32.57,100.00,20.00,100.00,354.47,17.82,2.98,9.28
236.20,43.80,30.42,10.25,1.03,0.08,nan,nan,nan,25.78,345.77,6.59,2362438,236.20,43.80,236.20,43.80,16.00,35.11,100.00,20.00,100.00,355.84,14.21,2.52,9.93
236.40,43.80,30.64,10.25,1.28,0.10,nan,nan,nan,26.21,357.54,7.88,2364438,236.40,43.80,236.40,43.80,15.50,35.11,100.00,20.00,100.00,357.61,16.60,2.93,9.82
235.80,44.80,25.10,11.02,0.60,0.05,nan,nan,nan,25.03,358.25,14.53,2358448,235.80,44.80,235.80,44.80,21.00,35.02,100.00,20.00,100.00,355.97,13.55,2.58,10.72
235.80,45.00,24.36,10.37,0.69,0.05,nan,nan,nan,25.19,3.05,13.37,2358450,235.80,45.00,235.80,45.00,21.00,35.02,100.00,20.00,100.00,0.46,12.20,2.19,10.13
236.40,45.00,29.60,14.75,0.13,0.01,nan,nan,nan,24.22,135.85,3.63,2364450,236.40,45.00,236.40,45.00,31.00,35.02,100.00,20.00,100.00,0.35,14.68,3.74,14.27
235.80,45.20,25.02,6.28,0.20,0.02,nan,nan,nan,24.35,8.44,12.19,2358452,235.80,45.20,235.80,45.20,11.00,34.68,100.00,20.00,100.00,357.09,13.19,1.43,6.12
235.80,45.40,24.69,6.28,0.70,0.06,nan,nan,nan,25.23,12.61,11.33,2358454,235.80,45.40,235.80,45.40,12.00,34.68,100.00,20.00,100.00,3.56,12.65,1.38,6.13
235.80,45.60,24.57,5.83,0.14,0.01,nan,nan,nan,24.25,12.22,10.96,2358456,235.80,45.60,235.80,45.60,11.00,33.95,100.00,20.00,100.00,359.18,12.91,1.30,5.68
236.40,45.60,29.24,14.75,0.09,0.01,nan,nan,nan,24.17,341.51,1.00,2364456,236.40,45.60,236.40,45.60,12.00,34.07,100.00,20.00,100.00,2.43,14.98,3.81,14.25
236.01,47.00,24.84,8.89,2.09,0.16,nan,nan,nan,27.92,357.14,15.34,2360470,236.00,47.00,236.00,47.00,14.00,32.32,60.00,20.00,100.00,350.48,9.34,1.44,8.77
235.81,47.20,20.36,13.25,1.77,0.14,nan,nan,nan,27.39,350.72,13.80,2358472,235.80,47.20,235.80,47.20,12.00,31.72,100.00,20.00,100.00,348.51,9.27,2.13,13.07
236.01,47.20,24.91,8.28,2.08,0.17,nan,nan,nan,27.98,354.53,14.46,2360472,236.00,47.20,236.00,47.20,12.00,31.72,63.00,20.00,100.00,351.74,9.51,1.37,8.16
235.80,47.40,24.99,9.76,1.16,0.09,nan,nan,nan,26.20,345.46,12.84,2358474,235.80,47.40,235.80,47.40,11.00,31.98,60.00,20.00,100.00,344.00,8.34,1.42,9.65
236.01,47.40,29.49,8.60,1.66,0.13,nan,nan,nan,27.18,350.02,13.49,2360474,236.00,47.40,236.00,47.40,11.00,31.72,51.00,20.00,100.00,345.42,8.88,1.33,8.50
235.40,47.60,24.36,7.76,0.15,0.01,nan,nan,nan,24.29,333.29,11.92,2354476,235.40,47.60,235.40,47.60,15.00,31.24,100.00,20.00,100.00,340.22,9.35,1.26,7.65
235.60,47.60,23.95,6.38,0.36,0.03,nan,nan,nan,24.70,335.15,11.87,2356476,235.60,47.60,235.60,47.60,12.00,31.24,100.00,20.00,100.00,342.61,9.50,1.05,6.29
235.80,47.60,25.34,10.75,1.48,0.12,nan,nan,nan,26.82,339.02,12.07,2358476,235.80,47.60,235.80,47.60,12.00,31.72,55.00,20.00,100.00,345.48,8.34,1.56,10.64
236.01,47.60,29.78,8.94,1.86,0.15,nan,nan,nan,27.56,344.08,12.50,2360476,236.00,47.60,236.00,47.60,11.00,31.72,47.00,20.00,100.00,346.99,8.61,1.34,8.84
